Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,101.820000,107.050003,97.029999,106.580002,106.440002,108316300
2021-07-01,107.129997,116.550003,101.669998,113.879997,113.776421,120756500
2021-08-01,115.370003,125.290001,111.839996,124.080002,123.967148,112707400
2021-09-01,124.870003,126.089996,106.709999,106.980003,106.882706,161039900
2021-10-01,108.199997,130.559998,104.620003,130.229996,130.111557,135984000
2021-11-01,131.190002,142.600006,126.260002,126.769997,126.654701,132543100
2021-12-01,131.559998,147.139999,120.760002,143.410004,143.279572,194662900
2022-01-01,144.679993,147.979996,98.559998,120.750000,120.750000,221999000
2022-02-01,121.349998,127.339996,90.540001,108.779999,108.779999,198445700
2022-03-01,107.879997,112.029999,93.010002,96.169998,96.169998,102844700
